,id,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence,duration_ms,key
0,4eHbdreAnSOrDDsFfc4Fpm,I Will Always Love You,The Bodyguard - Original Soundtrack Album,Whitney Houston,1992-11-17,271093,77,0.306,0.844,0.306,0.214,5.3e-06,0.0839,-12.518,0.0356,66.98,4,0.108,271093,4
1,6cARFkZxx2JR3JlvDzeLZc,Love of the Common People,From Time To Time - The Singles Collection,Paul Young,1991-09-07,220733,56,0.744,0.0883,0.744,0.609,0.0,0.0599,-11.202,0.0758,90.723,4,0.893,220733,9
2,1rO1CMRf4RrnkqRlnKvoqs,Because I Love You,The Hits Of Shakin' Stevens Vol II,Shakin' Stevens,1997-01-01,197600,40,0.587,0.244,0.587,0.343,0.00012,0.118,-12.891,0.0255,102.07,4,0.481,197600,8
3,3zr2s3o2Ye1j6t0ZMdoUYi,Song For Zula,Muchacho De Lujo (Deluxe Edition),Phosphorescent,2013-10-29,370200,59,0.492,0.729,0.492,0.626,0.533,0.0509,-8.26,0.0349,86.016,4,0.524,370200,4
4,3VN8gOBCgbQqsGQsd1Opve,Song for Zula,Built to Break,Ronnie Fauss,2014-11-04,296840,32,0.506,0.734,0.506,0.422,1.27e-05,0.0737,-6.931,0.0246,142.009,4,0.29,296840,9
5,05fHQeRbCSjKVS6z0WbQKJ,Every Time You Go Away - Radio Edit,From Time To Time - The Singles Collection,Paul Young,1991-09-07,267000,71,0.572,0.187,0.572,0.721,7.41e-06,0.216,-8.959,0.0402,164.252,4,0.844,267000,5
6,6mORGLOz79w6VsCRLWYYuK,The Night We Met,Strange Trails,Lord Huron,2015-04-06,208211,16,0.443,0.969,0.443,0.369,0.277,0.638,-9.514,0.0441,174.107,3,0.0989,208212,9
7,4rfh0qEv1HdKRXWiRXfzWF,"It's Been a Long, Long Time",Texas Chatter,Harry James,2008-10-29,205773,60,0.277,0.945,0.277,0.216,0.00116,0.325,-9.66,0.03,75.258,4,0.362,205773,0
8,7F1yVPuJ4xRdrDvf8OL0HF,"My Heart Will Go On - Love Theme from ""Titanic""",Titanic: Original Motion Picture Soundtrack - Collector's Anniversary Edition,James Horner,1997,310590,53,0.157,0.801,0.157,0.119,0.000998,0.126,-20.156,0.036,67.005,3,0.0391,310707,1
9,2JoZzpdeP2G6Csfdq5aLXP,How Deep Is Your Love,Greatest,Bee Gees,1979-01-01,245200,78,0.633,0.105,0.633,0.357,0.0,0.133,-9.366,0.0264,104.938,4,0.674,245200,5
10,0fIOacVe000P5pNhaKQlQw,Love Me Like You,Get Weird (Deluxe),Little Mix,2015-11-06,197786,71,0.785,0.208,0.785,0.674,0.0,0.285,-3.936,0.043,106.057,4,0.848,197787,7
11,6pgIjoj3BRXRCXRCMPjwvv,Still Your King,SEX AND LOVE (Deluxe),Enrique Iglesias,2014-01-01,217253,26,0.688,0.0126,0.688,0.839,0.0,0.356,-4.252,0.126,127.991,4,0.756,217253,5
12,5KawlOMHjWeUjQtnuRs22c,Boy With Luv (feat. Halsey),MAP OF THE SOUL : PERSONA,BTS,2019-04-12,229773,83,0.645,0.0923,0.645,0.862,0.0,0.192,-4.757,0.0965,119.991,4,0.798,229773,11
13,3dQ71J2HPHXpPqJ0tQdDHR,Dollar Bill (feat. Kid Ink),Dollar Bill (feat. Kid Ink),Phoebe Ryan,2016-07-08,226973,38,0.648,0.0441,0.648,0.762,0.0,0.127,-5.116,0.0667,87.969,4,0.581,226973,4
14,62z2Su8BBGvR50aOvdjPzW,Invisible - from the Netflix Film Klaus,Invisible (from the Netflix Film Klaus),Zara Larsson,2019-11-08,173975,59,0.519,0.0571,0.519,0.731,0.0,0.381,-3.993,0.0402,82.967,4,0.296,173975,11
15,3dnc2Ex0GN8kYpsT44C09D,Somebody Come Get Her,Somebody Come Get Her,Dj Orlinda,2016-02-23,210162,5,0.835,0.0498,0.835,0.447,2.9e-06,0.0636,-8.181,0.0753,92.518,4,0.258,210162,8
16,24Yi9hE78yPEbZ4kxyoXAI,Roses - Imanbek Remix,Roses (Imanbek Remix),SAINt JHN,2019-10-09,176840,95,0.77,0.0167,0.77,0.724,0.0107,0.353,-5.484,0.0495,121.975,4,0.898,176840,8
17,364dI1bYnvamSnBJ8JcNzN,Intentions,Intentions,Justin Bieber,2020-02-07,212868,87,0.811,0.317,0.811,0.553,0.0,0.105,-6.644,0.0552,148.014,4,0.86,212869,9
18,6T689Jvh5KrSXyaPtUWZtQ,Criminal,Femme Fatale (Deluxe Version),Britney Spears,2011-03-28,225080,70,0.696,0.0485,0.696,0.734,0.0,0.183,-5.294,0.0298,107.987,4,0.711,225080,7
19,33z5crv3IO5U2BOi8xod92,Something New (feat. Ty Dolla $ign),Something New (feat. Ty Dolla $ign),Wiz Khalifa,2017-08-11,200773,63,0.814,0.0935,0.814,0.635,0.0,0.0892,-6.609,0.0809,87.581,4,0.784,200774,7
20,4nK5YrxbMGZstTLbvj6Gxw,Supalonely,STELLA & STEVE,BENEE,2019-11-15,223480,92,0.863,0.305,0.863,0.631,3.04e-05,0.123,-4.689,0.0534,128.977,4,0.817,223480,7
21,7k4t7uLgtOxPwTpFmtJNTY,Tusa,Tusa,KAROL G,2019-11-07,200960,91,0.803,0.295,0.803,0.715,0.000134,0.0574,-3.28,0.298,101.085,4,0.574,200960,2
22,4T652DlATVHe0jdLKaN3Bw,in my head,"thank u, next",Ariana Grande,2019-02-08,222946,72,0.662,0.173,0.662,0.6,0.000137,0.109,-6.402,0.0703,134.979,4,0.331,222947,0
23,0bMbDctzMmTyK2j74j3nF3,"Alone, Pt. II","Alone, Pt. II",Alan Walker,2019-12-27,179052,82,0.67,0.536,0.67,0.668,0.0,0.133,-4.306,0.0422,88.033,4,0.608,179053,3
24,0bmQ5H9mHFzRnJ4ZntylFg,Somewhere (feat. Gus Dapperton),Somewhere (feat. Gus Dapperton),Surf Mesa,2020-07-31,183943,68,0.731,0.00295,0.731,0.636,0.00059,0.196,-6.845,0.0314,122.996,4,0.703,183943,0
25,3QNG9RhD93ypeMp3DUmkaO,Be Kind (with Halsey) [Surf Mesa Remix],Be Kind (with Halsey) [Surf Mesa Remix],Marshmello,2020-06-12,174289,69,0.684,0.0305,0.684,0.677,0.0,0.093,-5.398,0.0426,113.12,4,0.494,174289,4
26,62aP9fBQKYKxi7PDXwcUAS,ily (i love you baby) (feat. Emilee),ily (i love you baby) (feat. Emilee),Surf Mesa,2019-11-26,176546,94,0.674,0.0686,0.674,0.774,0.00188,0.393,-7.567,0.0892,112.05,4,0.33,176547,11
27,1FgPyHX7HruKDL4Tx4MeZB,Address It,Address It,LPB Poody,2020-05-05,146688,73,0.903,0.109,0.903,0.611,0.000199,0.0904,-8.006,0.268,94.525,4,0.329,146688,10
28,4IqcDJPzDL8Hq8KwAX4jUE,human,head or heart,Christina Perri,2014-03-28,250706,69,0.439,0.132,0.439,0.489,0.000643,0.114,-6.286,0.0368,143.808,4,0.253,250707,8
29,3QXiUbsLYt06h5aDa1PQ30,Memories,Equanimity,Ryan L Stewart,2008-01-01,202506,36,0.534,0.969,0.534,0.13,0.963,0.078,-16.351,0.0353,114.987,4,0.153,202507,5
30,68UU9oaQtMDnh6PRlW842H,I Like Him,Everything Sucks,Princess Nokia,2020-02-26,132453,80,0.893,0.0641,0.893,0.579,0.000121,0.215,-8.995,0.113,133.018,4,0.611,132453,9
31,2Fxmhks0bxGSBdJ92vM42m,bad guy,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,2019-03-29,194087,90,0.701,0.328,0.701,0.425,0.13,0.1,-10.965,0.375,135.128,4,0.562,194088,7
32,0u2P5u6lvoDfwTYjAADbn4,lovely (with Khalid),lovely (with Khalid),Billie Eilish,2018-04-19,200185,89,0.351,0.934,0.351,0.296,0.0,0.095,-10.109,0.0333,115.284,4,0.12,200186,4
33,3ZCTVFBt2Brf31RLEnCkWJ,everything i wanted,everything i wanted,Billie Eilish,2019-11-13,245425,89,0.704,0.902,0.704,0.225,0.657,0.106,-14.454,0.0994,120.006,4,0.243,245426,6
34,00yinrzqPZKA2vbnwnn3hS,Next To You Part II (feat. Rvssian & Davido),Next To You Part II (feat. Rvssian & Davido),Becky G,2019-05-23,179257,43,0.674,0.284,0.674,0.713,3.78e-06,0.152,-4.921,0.0781,104.786,4,0.264,179258,4
35,0qvzXomUDJVaUboy2wMfiS,This Town,Flicker (Deluxe),Niall Horan,2017-10-20,232852,76,0.677,0.712,0.677,0.401,0.0,0.116,-8.467,0.0308,111.825,4,0.195,232852,9
36,5EcpuCZ75oXmU5j0Hqoyys,Just The Way You Are,Red Hot R & B,Various Artists,2011-01-01,220293,41,0.636,0.0132,0.636,0.847,0.0,0.105,-5.417,0.0439,109.028,4,0.455,220293,5
37,7gd01LMH2gBcoDngSt8sq9,Next To You (feat. Justin Bieber),F.A.M.E. (Expanded Edition),Chris Brown,2011-03-22,265813,70,0.67,0.0201,0.67,0.676,0.0,0.11,-4.725,0.037,114.974,4,0.349,265813,8
38,78qd8dvwea0Gosb6Fe6j3k,Boss Bitch,Boss Bitch,Doja Cat,2020-01-23,134239,88,0.707,0.127,0.707,0.955,0.0,0.202,-4.593,0.222,125.989,4,0.575,134240,10
39,11VApNQCWLJdzxWrlmwzUa,Say So (feat. Nicki Minaj),Say So (feat. Nicki Minaj),Doja Cat,2020-05-01,206220,83,0.856,0.119,0.856,0.641,4.97e-06,0.427,-4.64,0.204,111.004,4,0.745,206221,11
40,6aTtl40Or1Mgx2pjcP1T9L,Broken Angel,Superman,Arash,2014-11-04,192280,44,0.659,0.264,0.659,0.743,4.92e-06,0.0994,-5.99,0.0252,111.064,4,0.751,192280,3
41,2ndF5ctDJrYK3eJhRbp1jO,Until You Were Gone (feat. Emily Warren),Bouquet,The Chainsmokers,2015-10-23,217040,52,0.569,0.0492,0.569,0.635,0.0,0.0569,-7.382,0.0461,128.085,4,0.363,217040,1
42,04NRBYtE0lQRy8XcrIxnBd,Braille,Unfaithful (Original Motion Picture Soundtrack),Jan A.P. Kaczmarek,2002-01-01,118600,24,0.183,0.943,0.183,0.0238,0.947,0.0931,-23.562,0.0397,135.711,3,0.0374,118600,4
43,64rL48E6xWMIXdpcFDEiB8,River Flows In You,Yiruma 2nd Album 'First Love' (The Original & the Very First Recording),Yiruma,2001-11-27,188786,71,0.314,0.987,0.314,0.22,0.943,0.0802,-21.343,0.0514,145.277,4,0.116,188787,9
44,40BHvbyw4UeadzkzaVpcbD,Kiss The Rain,Yiruma 3rd Album 'From The Yellow Room' (The Original & the Very First Recording),Yiruma,2003-10-23,260653,64,0.559,0.99,0.559,0.0519,0.905,0.117,-22.616,0.0423,132.694,4,0.182,260653,8
45,3xr8COed4nPPn6XWZ0iCGr,River Flows in You,The Best - Reminiscent 10th Anniversary,Yiruma,2011-12-09,218293,63,0.287,0.968,0.287,0.292,0.978,0.09,-19.285,0.0541,145.703,4,0.346,218293,9
46,4qto2kJITIHyE086P4WtkU,Kiss the Rain,The Best - Reminiscent 10th Anniversary,Yiruma,2011-12-09,300413,57,0.557,0.99,0.557,0.0958,0.872,0.145,-18.457,0.0542,112.819,4,0.202,300413,8
47,3Dv1eDb0MEgF93GpLXlucZ,Say So,Hot Pink,Doja Cat,2019-11-07,237893,90,0.787,0.256,0.787,0.673,3.57e-06,0.0904,-4.577,0.158,110.962,4,0.786,237893,11
48,2b8fOow8UzyDFAE27YhOZM,Memories,Memories,Maroon 5,2019-09-20,189486,90,0.764,0.837,0.764,0.32,0.0,0.0822,-7.209,0.0546,91.019,4,0.575,189486,11
49,5iFwAOB2TFkPJk8sMlxP8g,Make You Mine,Make You Mine,PUBLIC,2019-08-09,232906,84,0.606,0.0128,0.606,0.799,0.0,0.15,-4.452,0.0261,103.014,4,0.638,232907,9
50,0yIywEquxORnu1dR0WYsdN,Love Me,My World,Justin Bieber,2009-01-01,191573,66,0.729,0.00939,0.729,0.868,0.0,0.283,-3.319,0.0609,124.957,4,0.632,191573,3
51,0171XsIM2xyeXRr6wsugEI,Boyfriend,Believe,Justin Bieber,2012-01-01,171333,9,0.717,0.0358,0.717,0.55,0.00196,0.126,-6.019,0.0521,96.976,4,0.332,171333,10
52,6DNtNfH8hXkqOX1sjqmI7p,Cold Water (feat. Justin Bieber & MØ),Cold Water (feat. Justin Bieber & MØ),Major Lazer,2016-07-22,185351,2,0.608,0.0736,0.608,0.798,0.0,0.156,-5.092,0.0432,92.943,4,0.501,185352,6
53,0pwYLVXVknPSGUQb39cePC,As Long As You Love Me,Believe (Deluxe Edition),Justin Bieber,2012-06-15,229466,68,0.571,0.0811,0.571,0.873,0.0,0.361,-3.382,0.1,139.691,4,0.613,229467,0
54,3A7qX2QjDlPnazUsRk5y0M,2U (feat. Justin Bieber),2U (feat. Justin Bieber),David Guetta,2017-06-09,194896,70,0.548,0.219,0.548,0.65,0.0,0.225,-5.827,0.0591,144.937,4,0.557,194897,8
55,190jyVPHYjAqEaOGmMzdyk,Beauty And A Beat,Believe (Deluxe Edition),Justin Bieber,2012-06-15,227986,70,0.602,0.000688,0.602,0.843,5.27e-05,0.0682,-4.831,0.0593,128.003,4,0.526,227987,0
56,5GYbkDveRD2I8M5ZJ14hWn,Never Say Never,Never Say Never - The Remixes,Justin Bieber,2011-01-01,227853,69,0.739,0.0181,0.739,0.807,0.0,0.295,-5.063,0.0652,97.048,4,0.632,227853,0
57,09mhA1SJjMHniZPF4Hcihn,Company,Purpose (Deluxe),Justin Bieber,2015-11-13,208120,1,0.59,0.132,0.59,0.797,0.0,0.0846,-4.901,0.0614,94.948,4,0.425,208120,4
58,6epn3r7S14KUqlReYr77hA,Baby,My World 2.0,Justin Bieber,2010-01-01,214240,76,0.728,0.0401,0.728,0.859,0.0,0.111,-5.237,0.137,65.043,4,0.535,214240,5
59,6eDApnV9Jdb1nYahOlbbUh,One Time,My World,Justin Bieber,2009-01-01,215866,68,0.691,0.0631,0.691,0.853,7.13e-05,0.082,-2.528,0.0372,145.999,4,0.762,215867,1
60,6dtWKqqdveI3YvdYJQKWWn,iT's YoU,Mind Of Mine (Deluxe Edition),ZAYN,2016-03-25,226653,63,0.611,0.815,0.611,0.319,0.0151,0.108,-10.743,0.0357,124.92,4,0.176,226653,5
61,3e9HZxeyfWwjeyPAMmWSSQ,"thank u, next","thank u, next",Ariana Grande,2019-02-08,207320,85,0.717,0.229,0.717,0.653,0.0,0.101,-5.634,0.0658,106.966,4,0.412,207320,1
62,3zHq9ouUJQFQRf3cm1rRLu,"Love Me Like You Do - From ""Fifty Shades Of Grey""",Delirium (Deluxe),Ellie Goulding,2015-11-06,252534,79,0.262,0.247,0.262,0.606,0.0,0.125,-6.646,0.0484,189.857,4,0.275,252534,8
63,27tNWlhdAryQY04Gb2ZhUI,Roar,PRISM,Katy Perry,2013-01-01,223546,72,0.671,0.00492,0.671,0.771,7.28e-06,0.354,-4.821,0.0316,90.003,4,0.436,223546,7
64,07nH4ifBxUB4lZcsf44Brn,Blame (feat. John Newman),Motion,Calvin Harris,2014-10-31,212960,76,0.414,0.0287,0.414,0.857,0.00574,0.343,-4.078,0.0808,128.024,4,0.348,212960,0
65,3U4isOIWM3VvDubwSI3y7a,All of Me,Love In The Future (Expanded Edition),John Legend,2013-08-30,269560,85,0.422,0.922,0.422,0.264,0.0,0.132,-7.064,0.0322,119.93,4,0.331,269560,8
66,6FZDfxM3a3UCqtzo5pxSLZ,Without Me,Manic,Halsey,2020-01-17,201660,77,0.752,0.297,0.752,0.488,9.11e-06,0.0936,-7.05,0.0705,136.041,4,0.533,201661,6
67,2qT1uLXPVPzGgFOx4jtEuo,no tears left to cry,Sweetener,Ariana Grande,2018-08-17,205920,82,0.699,0.04,0.699,0.713,3.11e-06,0.294,-5.507,0.0594,121.993,4,0.354,205920,9
68,2xJCMIJfcNYDc5iR0sAm2O,New Rules,Dua Lipa (Complete Edition),Dua Lipa,2015,209320,57,0.762,0.00261,0.762,0.7,1.56e-05,0.153,-6.021,0.0694,116.073,4,0.608,209320,9
69,2BgEsaKNfHUdlh97KmvFyo,2002,Speak Your Mind (Deluxe),Anne-Marie,2018-04-27,186986,82,0.697,0.0372,0.697,0.683,0.0,0.137,-2.881,0.117,96.133,4,0.603,186987,1
70,6RtPijgfPKROxEzTHNRiDp,Rude,Don't Kill the Magic,MAGIC!,2014-06-25,224840,79,0.774,0.0423,0.774,0.756,0.0,0.305,-4.995,0.0389,144.032,4,0.931,224840,1
71,1rfofaqEpACxVEHIZBJe6W,Havana (feat. Young Thug),Camila,Camila Cabello,2018-01-12,217306,83,0.765,0.184,0.765,0.523,3.56e-05,0.132,-4.333,0.03,104.988,4,0.394,217307,2
72,4B0JvthVoAAuygILe3n4Bs,What Do You Mean?,Purpose (Deluxe),Justin Bieber,2015-11-13,205680,78,0.845,0.59,0.845,0.567,0.00142,0.0811,-8.118,0.0956,125.02,4,0.793,205680,5
73,6v3KW9xbzN5yKLt9YKDYA2,Señorita,Shawn Mendes (Deluxe),Shawn Mendes,2019-06-19,190799,83,0.759,0.0392,0.759,0.548,0.0,0.0828,-6.049,0.029,116.967,4,0.749,190800,9
74,1wjzFQodRWrPcQ0AnYnvQ9,I Like Me Better,I Like Me Better,Lauv,2017-05-19,197436,30,0.752,0.535,0.752,0.505,2.55e-06,0.104,-7.621,0.253,91.97,4,0.419,197437,9
75,3WefHNGtjexZvi66ZEx9u4,Hurts Like Hell (feat. Offset),Hurts Like Hell (feat. Offset),Madison Beer,2018-11-09,207108,74,0.704,0.185,0.704,0.56,0.0,0.0948,-6.791,0.179,75.003,4,0.609,207109,1
76,6ATgDc6e4sPn84hvJsAmPt,hate u love u,hate u love u,Olivia O'Brien,2016-12-09,175466,78,0.407,0.656,0.407,0.416,0.0,0.0981,-8.915,0.174,176.947,4,0.246,175467,6
77,54l9GJGQ1UCFKe2tzt1Vxt,Only You (with Little Mix),Only You (with Little Mix),Cheat Codes,2018-06-22,189401,66,0.607,0.0829,0.607,0.74,0.0,0.105,-4.793,0.172,108.05,4,0.219,189401,4
78,7COXchtUOMd6uIT6HvmRaI,i'm so tired...,i'm so tired...,Lauv,2019-01-24,162582,29,0.599,0.176,0.599,0.733,0.0,0.242,-7.058,0.203,102.211,4,0.534,162583,11
79,0d2iYfpKoM0QCKvcLCkBao,Eastside (with Halsey & Khalid),Eastside (with Halsey & Khalid),benny blanco,2018-07-12,173799,81,0.56,0.555,0.56,0.68,0.0,0.116,-7.648,0.321,89.391,4,0.319,173800,6
80,5HwnezK198pJCEj1l2Adjy,She Loves Control,Camila,Camila Cabello,2018-01-12,177160,65,0.65,0.166,0.65,0.758,0.0,0.0889,-4.02,0.116,94.9,4,0.663,177160,2
81,3whrwq4DtvucphBPUogRuJ,Havana - Remix,Havana (Remix),Camila Cabello,2017-11-12,199095,67,0.751,0.398,0.751,0.579,2.28e-05,0.133,-4.036,0.0321,105.031,4,0.349,199095,2
82,6l0Ky2PycJV1Bz88kFeVGL,Capital Letters,Fifty Shades Freed (Original Motion Picture Soundtrack),Various Artists,2018-02-09,219373,73,0.661,0.0337,0.661,0.814,8.27e-06,0.0518,-5.529,0.0759,99.963,4,0.459,219373,0
83,4dH8EfwDxGjzj0358d5Tvw,Falling to Pieces,Phoenix (Deluxe),Rita Ora,2018-11-23,260920,31,0.647,0.00966,0.647,0.703,1.68e-05,0.222,-5.871,0.0278,91.94,4,0.36,260920,3
84,1XGmzt0PVuFgQYYnV2It7A,Payphone,Overexposed Track By Track,Maroon 5,2012-01-01,231173,80,0.743,0.0188,0.743,0.752,0.0,0.287,-4.813,0.0414,110.015,4,0.545,231173,4
85,0wt9RjddODlWDetpuaXfRK,"Sunflower (Remix) [with Swae Lee, Nicky Jam, and Prince Royce]",Spider-Man: Into the Spider-Verse (Deluxe Edition / Soundtrack From & Inspired By The Motion Picture),Various Artists,2019-02-22,210000,64,0.604,0.274,0.604,0.754,3.53e-06,0.0947,-4.243,0.119,179.836,4,0.28,210000,2
86,466s1BacUmiRdR3ISvNjyx,Bang Bang,My Everything (Deluxe),Ariana Grande,2014-08-25,199320,60,0.703,0.283,0.703,0.747,0.0,0.396,-4.446,0.0895,149.974,4,0.7,199320,0
87,4eumFsTnduH3zRfaASoAPs,My Everything,My Everything (Deluxe),Ariana Grande,2014-08-25,168520,65,0.54,0.88,0.54,0.265,0.0,0.131,-5.307,0.0297,61.975,4,0.423,168520,11
88,0fonaf88IEDQM309zmU80L,Be My Baby,My Everything (Deluxe),Ariana Grande,2014-08-25,217053,59,0.622,0.0735,0.622,0.586,7.41e-06,0.0803,-6.241,0.0356,145.08,4,0.434,217053,3
89,1cdzfFjEbUbgTm5nv3FgXR,Focus,Focus,Ariana Grande,2015-10-30,211360,65,0.671,0.266,0.671,0.876,0.0,0.444,-6.034,0.239,100.016,4,0.8,211360,6
90,2VhPOtIQw2UpQmRVevdviU,Bang Bang,Bang Bang,Jessie J,2014-07-29,199373,60,0.707,0.269,0.707,0.752,0.0,0.377,-4.401,0.0885,150.061,4,0.724,199373,0
91,4jPkb4FWzVP7NKeIMMSKF7,Thinking Bout You,Dangerous Woman,Ariana Grande,2016-05-20,200400,39,0.505,0.0164,0.505,0.704,0.000469,0.121,-6.08,0.0584,102.988,4,0.436,200400,11
92,3BJLJsOOHyaRQaSZJGxeDE,Knew Better / Forever Boy,Dangerous Woman,Ariana Grande,2016-05-20,299213,27,0.484,0.235,0.484,0.381,3.6e-06,0.0998,-6.705,0.0711,106.65,4,0.372,299213,6
93,4JJbnMA73TiInSEaSD2NtI,Touch It,Dangerous Woman,Ariana Grande,2016-05-20,260000,35,0.536,0.0303,0.536,0.694,0.0,0.183,-4.369,0.0332,100.906,4,0.291,260000,7
94,7eS959IbSi81CQ5kSB64HT,Bad Decisions,Dangerous Woman,Ariana Grande,2016-05-20,226426,28,0.691,0.0149,0.691,0.642,0.0,0.28,-5.399,0.0429,131.988,4,0.814,226427,4
95,4FK4RZ54LKzxwVBxcZ8NsE,I Don't Care,Dangerous Woman,Ariana Grande,2016-05-20,178026,24,0.585,0.773,0.585,0.401,0.0,0.153,-8.319,0.0412,111.956,4,0.232,178027,5
96,57pP1na1daT3zVtQzoLCO7,Sometimes,Dangerous Woman,Ariana Grande,2016-05-20,226666,28,0.397,0.0907,0.397,0.666,0.0,0.344,-5.383,0.248,77.915,4,0.568,226667,1
97,0sGPJOpsQs7K2OwxSPMmxf,Everyday,Dangerous Woman,Ariana Grande,2016-05-20,194840,38,0.63,0.017,0.63,0.721,0.0,0.189,-4.51,0.0521,130.974,4,0.457,194840,7
98,49dApkMoBJGB4NlyjTdt4s,Leave Me Lonely,Dangerous Woman,Ariana Grande,2016-05-20,229680,27,0.445,0.599,0.445,0.446,2.21e-05,0.339,-7.468,0.0312,90.927,3,0.389,229680,8
99,3QzKOkJx93qT95MpEYLYOD,Greedy,Dangerous Woman,Ariana Grande,2016-05-20,214906,39,0.619,0.0323,0.619,0.705,0.0,0.0919,-5.335,0.099,109.975,4,0.844,214907,1
